#cachesize,recordcount,fieldcount,operationcount,threads,binding,workload,integrity,distribution,operation,value
300000,3000000,10,10000000,1,infinispan-pcj,workloada_load,true,default,throughput,1689.892359489675
300000,3000000,10,10000000,1,infinispan-pcj,workloada_load,true,default,total_gc_time_%,11.504111226461912
300000,3000000,10,10000000,1,infinispan-pcj,workloada_load,true,default,init,6.98435584E8
300000,3000000,10,10000000,1,infinispan-pcj,workloada_load,true,default,load,1766817005567
300000,3000000,10,10000000,1,infinispan-pcj,workloada_load,true,default,cleanup,7.555956736E9
300000,3000000,10,10000000,1,infinispan-pcj,workloada_load,true,default,insert,354243.42029333336
300000,3000000,10,10000000,1,infinispan-pcj,workloada_run,true,default,runtime,528029
300000,3000000,10,10000000,1,infinispan-pcj,workloada_run,true,default,throughput,18938.353764660653
300000,3000000,10,10000000,1,infinispan-pcj,workloada_run,true,default,total_gc_time_%,15.90083120434673
300000,3000000,10,10000000,1,infinispan-pcj,workloada_run,true,default,read,10495.254636492433
300000,3000000,10,10000000,1,infinispan-pcj,workloada_run,true,default,init,6.63300096E8
300000,3000000,10,10000000,1,infinispan-pcj,workloada_run,true,default,cleanup,1.847267328E9
300000,3000000,10,10000000,1,infinispan-pcj,workloada_run,true,default,update,25516.83016045972
300000,3000000,10,10000000,1,infinispan-pcj,workloada_run,true,default,transaction,525328187391
300000,3000000,10,10000000,1,infinispan-pcj,workloadb_run,true,default,runtime,257944
300000,3000000,10,10000000,1,infinispan-pcj,workloadb_run,true,default,throughput,38768.10470489719
300000,3000000,10,10000000,1,infinispan-pcj,workloadb_run,true,default,total_gc_time_%,6.140092423161617
300000,3000000,10,10000000,1,infinispan-pcj,workloadb_run,true,default,read,6118.206051740196
300000,3000000,10,10000000,1,infinispan-pcj,workloadb_run,true,default,init,5.62198528E8
300000,3000000,10,10000000,1,infinispan-pcj,workloadb_run,true,default,cleanup,3.93225216E8
300000,3000000,10,10000000,1,infinispan-pcj,workloadb_run,true,default,update,24264.75094376693
300000,3000000,10,10000000,1,infinispan-pcj,workloadb_run,true,default,transaction,256931528703
300000,3000000,10,10000000,1,infinispan-pcj,workloadc_run,true,default,runtime,240729
300000,3000000,10,10000000,1,infinispan-pcj,workloadc_run,true,default,throughput,41540.48743607957
300000,3000000,10,10000000,1,infinispan-pcj,workloadc_run,true,default,total_gc_time_%,6.229826900788854
300000,3000000,10,10000000,1,infinispan-pcj,workloadc_run,true,default,read,5832.9678327
300000,3000000,10,10000000,1,infinispan-pcj,workloadc_run,true,default,init,6.98017792E8
300000,3000000,10,10000000,1,infinispan-pcj,workloadc_run,true,default,cleanup,4.14053376E8
300000,3000000,10,10000000,1,infinispan-pcj,workloadc_run,true,default,transaction,239553478655
300000,3000000,10,10000000,1,infinispan-pcj,workloadd_run,true,default,runtime,538107
300000,3000000,10,10000000,1,infinispan-pcj,workloadd_run,true,default,throughput,18583.6645871546
300000,3000000,10,10000000,1,infinispan-pcj,workloadd_run,true,default,total_gc_time_%,14.932903679008078
300000,3000000,10,10000000,1,infinispan-pcj,workloadd_run,true,default,read,3605.8361106952752
